bullying_words,type_bully
@BikerSwag damn! No kidding!,bully
Man  fuck Alton-Darby.,bully
Sigh. Fuck 4chan.,bully
haha I always say that! Girl or not  I too can rock out with my cock out! Hah,bully
I hate em..,bully
He's so fucking annoying. I would just tell him fuck off and it's his fault he has an unverified address &gt;:/,bully
yeah and I am the man in the relationship @kRockXP your my bitch.,bully
D:!  That's horrible  ;__; This sucks.,bully
fuck off dude  don't waste my time  damn spam users again ...,bully
fuck off dude  don't waste my time...,bully
you own a gun? remind me not to piss you off anymore.,bully
FUCK FUCK FUCK FUCK BIIAAAATCH!,bully
damn straight :),bully
damn you hater!  lol,bully
OMG your so MEAN .. really really mean +_+  i hate you .. hifftt,bully
cunt? Whore?? Lololol,bully
fuck u and ur fucking break =/,bully
wow   that sucks.,bully
LIES! I HATE HIM!,bully
damn straight,bully
I hate you so much you stupid New York... douche. bagel.,bully
I wish I could punch you square in the face. that's how much I hate you right now.,bully
you are a twitter/last.fm whore! :P,bully
Doh!  That sucks!,bully
i hate you for both those statements. lol,bully
fuck up foo.,bully
i REALLY hate you,bully
ur gay? me. u. mall. shopping!,bully
God damn it  Louis!,bully
Nerd alert!,bully
SHUT THE FUCK UP! What?! Why does Micky Rouke have ur #?,bully
Freak.,bully
VTU  SUCKS &gt;.&lt;,bully
8 fucking am.,bully
HOLY FUCK! GIRL YOU CANT DO STUFF LIKE THAT!,bully
i hate pret,bully
That sucks!,bully
jealousy makes me hate you now hahaha,bully
And I HATE gangsters &gt;.&gt;,bully
haha no I'm just trying to fuck with him,bully
i hate u,bully
i hate u. looooooool,bully
Lolol well i hate u. K thx &lt;3,bully
I will super hero my ass out there and blow the tire up myself!!!,bully
that sucks big time.,bully
damn!! *goes off to call God*,bully
FOR REAL!!!! I NEED TO JUST STOP!!!! REALLY!!!! FUCK!!!!!,bully
gotta hate that shit,bully
So you were a geek and gay at a very young age ;),bully
You fucking rock =),bully
yeah  it sucks :(,bully
Thats so fucking stupid for you to say,bully
That sucks:),bully
God damn. That's some stocking up.,bully
damn girl. that was fire!,bully
makes even gay men question their sexuality.,bully
OMG where? that sucks!!,bully
lawl @ fat bitchez.,bully
you're a fat bitch? I think you just called yourself one. Lmao... Well if you wanna out yourself in that category... Ha ha,bully
fuck yeah,bully
Eat twat   you twitter whore.,bully
That sucks ...,bully
what happens when someone tells u gators suck ass lmao. U pull a gun or stab them to death???,bully
god damn you.,bully
nerd. :),bully
aw that sucks.,bully
I don't wanna sound gay or nuthin'  but that sir... is an arousing pic.,bully
lady  i wanna fuck your tumblr.,bully
that sucks!,bully
FUCKING ELLAS A RETARDED CUNT ALOT OF PEOPLE COULD DO A BETETER JOB THEN HERE SHES RACIST AGAINST BLACKS,bully
MOD_ELLA IS A FUCKING CUNT,bully
haha ugh this sucks :(,bully
ass get out its ur last day damn it!,bully
awe  how gay :P,bully
oh no...he grew out of it (after a few ass whippings)....he just steals girls hearts now (he's 2non-bully). But yea he was a baby klepto,bully
damn  that sux,bully
he's gay like u lmao. And the rest of the guys are alergic to fruits. *wink* lmao.,bully
U stupid bitch. I said Its in my car u always at work or chillin with then regis niggas.  Don't piss me off.,bully
hey man! You =gay! Lol jk,bully
your a pale whore..,bully
after I kept getting caught I just said fuck it  lifes too short and I wanna sing off key fools!,bully
you damn betcha,bully
ass.,bully
hot ass mess!!!! hahahaha,bully
omg! that really sucks! anything serious?,bully
@nightmaremyles fuck yes to both of you.  &lt;3,bully
dude.  she's fugly.  i think ur a desperate ass cam perv.,bully
hahah  ass :P hehe,bully
BITCH...you got a working Zune  and I don't like it! Yea you got one...BUT IT AINT ENUFF!,bully
closing now. some gay xmas thing,bully
Wow! That sucks.,bully
I hate FCC they are evil,bully
fuck you,bully
damn straight,bully
I'm late to the emo-ball.. I'm not even dressed.  WHY un-follow you?  What did you do now (pft- can't take him anywhere...),bully
i will but now the only problem is im realllyyyy not looking forward to seeing some gay show,bully
wash yo' ass!,bully
that sucks!,bully
 you came up with angry gay guy...,bully
 twitter whore!,bully
is officially too gay to function!,bully
... this is so post gay  it hurts .... NSFW! http://tinyurl.com/6d9ew5,bully
I hate you,bully
hell yeah fucking losers lol,bully
Fuck yeah,bully
na just a bitch of a teacher!!!!,bully
it is. Hate that LOL,bully
aww  I knoow  I hate that! :-P,bully
you're so gay. I hate lonestar.,bully
shits gay!,bully
fuck you Devi. slit em'!,bully
well just go to the local whore house!,bully
no way. they REALLY hate you  don't they?!,bully
@ryanruppe damn you...,bully
fat guys are immoral  there should be a proposition to keep them from marrying  VOTE YES,bully
you're a nerd fail,bully
fucking ayeeeeee,bully
SHUT THE FUCK UP BEFORE I PUT A HAMSTER UP YOUR ASS!!,bully
YOUR MOM SUCKS ASS. Don't be such a douche. It's obviously not done. I'll add the fucking parm when the noodles are done.,bully
I hate you so hard right now.,bully
http://twitpic.com/vme7 - that sucks!,bully
we talked four days ago!!!! emo cowboy fan :),bully
Especially the gay cowboys. Ha ha.,bully
i BET YOU WERE SILLY ASS! lol,bully
You're such a nerd. lol,bully
I hate you and your steelers.,bully
fuck betty she killed me...,bully
fuck yo life nigga,bully
@farwyde Cock your gun.,bully
@design_doll Cock and bull,bully
I hate them. I eat them for dessert. I will keep following you. I believe in your cause,bully
"""marinates penis"". That's gay dude.",bully
Male Chauvinist Pig. :P,bully
wow! You're a real cunt!,bully
OMG  that is a total bitch! Those jerks play that game here too except they write big fine$ with the confiscations!,bully
His ass needs to be put on blast so now his wife can see wtf he's doing.,bully
payment schedule...been there...sucks ass,bully
fuck em then! heh,bully
That sucks.,bully
That sounds like Charter.  I hate Charter.,bully
YOUR INSANE BABBLE  HAVE YOU LOST YO DAMN MIND?,bully
You know all about some interpretive gay dancing.,bully
hate you...,bully
hahahhaha I hate that!,bully
fuck you.,bully
fuck you haha,bully
whatever about the Gay Byrne voiceover  shame on Eason's for running Christmas ads in early November!..,bully
Son of a bitch!,bully
Drupal sucks.,bully
Rooster is my bitch!,bully
Rooster is LARRY'S bitch!,bully
oh man that sucks!! LOL,bully
That really sucks.,bully
that sucks.,bully
ha! Go fuck a chickhen!,bully
fat bastard,bully
gay + high on crack + Razor sharp vagina? sounds like @andymn to me,bully
you mean we chatted about how I wish I were a gay man??,bully
faa lalala gay apparel daa da da daaa yuletide carol la la lala laaaa....,bully
Ok is it gay day today? or are those some cute azn girl socks u sexed,bully
Fuck yea it's the bomb,bully
WTF emo ass lookin bitch &gt;&lt; *sigh*,bully
suck my cock  bitch. i am allowed to be scared of whatever i want. *z snap*,bully
Fuck.,bully
YOU ARE FUCKING BRnon-bullynon-bullyT4L,bully
ewww  hate it hate it hate it!,bully
I hate it SO SO SO MUCH.,bully
hate. you.,bully
Son. Of. A. Bitch. :-p,bully
fuck you,bully
I hate it  too.,bully
ha! sucks for u!!,bully
oh wow  that really sucks. :/,bully
i hate you,bully
Oh  that sucks!,bully
aww that sucks :/,bully
That's gay. Poor MCR.,bully
everything but you. Everything but you sucks.,bully
That sucks dude!,bully
Oh my fucking ~*gawd. *eye roll*,bully
aww  that soo sucks D:,bully
GA has finally let out is inner ass and now everyone hates him :D,bully
Fuck you,bully
emo!lol j/k,bully
Damn girl ... Your house was dirty.,bully
I noticed that and you are not a bitch. The other thing that she also doesn't have is class.,bully
damn kenny u need emotional condoms and shit son.,bully
Kick ass!,bully
ha! my ass be bowling lol,bully
to get fat?,bully
i would hate that too. :(,bully
i hate you all,bully
/nerd *laugh*,bully
Ah. Gay!,bully
I hate you so much I just want to smash your face.,bully
Yes you are a loser... I could have told you that a long time ago...,bully
. . . HE'S FUCKING HIMSELF!,bully
 Do you lick dick?,bully
 On a bully to bullynon-bully how mad would you be at me if I were to rape you?,bully
 dudde ima fuuck you til you bleed:),bully
 haha keep saying shit ill kill you,bully
 Tabi isn&;t fake in anyways  so go suck a fat one. SERIOUSLY. I will beat your ass. I love you Tabi<3 ((:,bully
 Your picture looks shopped...,bully
 Hey  suck it hoe.,bully
 im better tthan youu :),bully
 i dont givafuck. ur friendless  previously stated in one of my other comments. except for firey  bitch,bully
 Your face is such a mess  why don&;t you get your dog something different to chew on?,bully
 stop acting like you know everything. your fat. get over yourself you mouthy slag :L and no your not better then everyone else! (:,bully
 Learn how to spell? Learn how to tell apart a typo from a spelling error.   And learn how to be a proper fake.,bully
 your mad ugly. true talk.,bully
 Your so fucking immature I&;m sorry you have no friends so you have to be rude to everyone,bully
 Answer your questions biatchh!! :L,bully
 u2584u2588u258non-bully u2588u2584 u2588u2584u2588 u258non-bullyu2588u258non-bully,bully
 r u retarded ? :P jking,bully
 Just admit ur a lesbian drug addict who flirts with guys  it&apos;s okay(:,bully
 r u a drty slut?,bully
 y is the sky blue?,bully
 wtf is up wit ur cheeks?? chipmunk much??,bully
 Wait Nevermind I Am Signed In,bully
 i never said that i&;m bully6 or that i&;m sexy. dumbasssssss,bully
 ugly.,bully
 heyyy  your an ugly fucking bitch  you think your sexy? haha  you ain&;t shit besides an ugly bitch. &amp; beware of what? ill fucking put your shit on blast. fucking stupid ass cunt. fuck off  &amp; stop hatein on peoples pages before i go off on your ugly ass.,bully
 your a fuckin ugly bitch you look like a man in the face :),bully
 Is it ok if I&apos;ve jizzed to pics of you before?,bully
 You and frances gross me out  nastiest couple ive ever freakin seen. Your way out of her league like no joke.,bully
 yuu kno yuu so lame? ndd yuu caint tlkk to that muchh qurls hav yuu seen yurselff hahahahahah noooo,bully
 Hoe,bully
 i want you dead.,bully
 Do you want me to rain on their parade? Sure hate ignorant Texans who believe that being from Texas gives them the right to act like low level scum suckers. The need to live in the real world and pull their head out of that dark place they have it shoved.,bully
 Why r u such a bitchh??? I hate u I&;m gonna kick ur ass whore!!,bully
 Aww you&;ll have some beat my ass? Your not &quot;badass&quot; enough to do it yourself? Exactly what imeant by pussssssyss<33333,bully
 Uhm you did  right down there vvvvvvv. You&;re the &;dumbfuck&;.  Stop starting shit with everyone  kcoolbye.,bully
 I see (:,bully
 your a fagggggg,bully
 You&;re Lame As Fuck .,bully
 Ugly piece of shit,bully
 I&;m not a creepy stalker. Just everyone fucking hates you so everyone knows what you fucking do. You remind me of Harmony Flashpink but uglier and alittle more pathetic. Everyone knows you fake yourself and other girls  and you want attention. Dumbfuck.,bully
 who did you last go out with? cameren loomen?,bully
 y do u have a big nose seriously no girl have a big nose ?,bully
 How&;s having like no friend&;s ?,bully
 I do too know you like that  motherfucker.,bully
 Hey aujala r,bully
 hey everyone  this is the girl that fakes ta,bully
 :] you are fake though :D ? that makes no sense lolol why would you keep faking all these formsprings  your stuuupid :p we all know the real ashlee girls formspring already  soo fuck off may you?,bully
 Dumb bitch! Fuchkkk you and your stupid friends! Your all pussies! None of you can handle on your own! You always need your friends to get in everything!,bully
 but i want your hairy ass then after i lick it i can fuck it you know you want it,bully
 ew i wuld never be jelous of ur life. coke yup thats a drug to but u still seem to handle with it a lot. no one gives a flying fuck about ur life and leave andrew the fuck alone bc u only hate him for the firey cunt,bully
 SMILE4MEXXX IS TRAILER TRASH. A RACIST FAT COW. A BIMBO FUCKING SLUT. AND WORTHLESS AS HELL. ALL SHE&;S GOOD FOR IS SOMEONE USING HE BODY FOR SEX AND DUMPING HER ON THE STREET WHEN THEY&;RE DONE USING HER ;),bully
 BITCH STFU AT LEAST I RECOGNIZE MYSELF NOT LYK U,bully
 oh frances hunny dont try and talk all ghetto your white ass doesnt fucking scare me  i will break you in fucking half.,bully
 ASSHOLE,bully
 Ur gunna get jumped. U stupid bitch.,bully
 bully3?r you&;re at the perfect age to learn how to suck dick and give hand jobs.,bully
 Leave Texas bitch!! No one here wants you!! Quit hating on Texas and Brock  we were perfectly fine without you BITCH! ... sooo LEAVE!,bully
 XoxoAshleyxo and I are okay now though. No more threats so your back up will not be needed.,bully
 you are stupid and ugly.,bully
 no. I hate taylor she used to b firey until she dyed her hair,bully
 FUCK YOU YOU SON ,bully
 Your probably the one faking KAI! HUH! FUCKING BITCH!,bully
 B!+(h !M@ B3 PUMP!N D!S$Z D!(k !N Ynon-bully 3@R Snon-bully H@RD DAM BRUH I BUST3D A Lnon-bully@D non-bullyF CUM !N MA Mnon-bullyMMASZ HA!R SH3 MO!STURIZIN IT DO3. I P!CTURE Ynon-bully VA@GIN@ Tnon-bully BE3 ALL H@!RY N $$H!ZZZZ W@!T T!L ! MUNCH ON DAT N@PPY BROWN H@!RY H@!T!@N PUZZIE,bully
 AJULA NO DONT FUKIN TALK TU HERRR ! VVV,bully
 dayumm stupid fuckin cunts stop talking your shit get a fuckin life go suck your moms dick and chock on it dayumm lil pussys take it of anonamis or watever -stephanie iloveyou alexis :),bully
 Here&;s an idea  how about stop trying o get hook up with Tabitha and actually find someone who can suck you 3inches dick  hahaha doubt that will ever happen. No girl likes a pevert and a douche(:,bully
 get a life you twisted bitch!,bully
 im gnna fxk u up!!!!!! ur a dum hoe,bully
 Is it true you kissed that ugly Cody kid!?!,bully
 too late  i hate you,bully
 fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake,bully
 fuck no im not jealous of the ugly ass freak.,bully
 NIGGGAH ISZ YUH CIRCUMSIZED,bully
 Hey bitch don&;t get mad at people who write on here cause YOU ask people to write to you.,bully
 DUDE  ARE YOU SERIOUS YOUR SO STUPIDDDD >.> STFU!:) and btw  if your tired of people talking shit on your form spring  delete this accountt >.> and be yourself  are you that bad?,bully
 hello mr gay fuck,bully
 Don&;t call her a bitch vv,bully
 u know u care that betty is way better looking than u,bully
 aye dhis daddy pelt,bully
 y does u talk shit about peyton ?,bully
 oh well aren&apos;t you just the shiiit for hanging out with older people? get friends your own age  you dumb bitch.,bully
 shit talkin bitch,bully
 when they mean fake  they mean your attitude is fake and your personality  not if shes dead or alive..um just saying ppl.,bully
 im a big fan of betty and u is ugler than her so fuck up bitch u ugly shit head,bully
 i hate ur fucking guts. u &amp; lindsey? grossest thing ive ever seen,bully
 :3 wow ashleeee your fakes amuse me lmao  okay  you are retarded to keep this page upp :],bully
 I fucking hope you move you bitch!!!!,bully
 brittany is from MAYODAN abbie aint from ellisboro  either.dumbass....and the lst 2 aintchur girls they dont evn lik u.,bully
 You are such a faggot for going to EDC god damn it. Almost as much of a bitch as Thad  but no where near Zach at least.,bully
 Hahaha ohmyGod you are an actual jerk,bully
 she sucks. she can go fuck herself. xD,bully
 gahaha. xD i will whip your ass. lmfaoo.,bully
 fuck the lakers! GO CELETICS,bully
 you sure as hell look like a dog.  don&;t fucking call me &;hun&;.  got it.,bully
 haha lifeless cunt stop writing on my wall you shit faced slut,bully
 and you called me fat why?,bully
 who tha fuck is &quot;Krista&quot; r this is not &quot;Krista&quot;,bully
 fuck yo shit homie!,bully
 does it look like i give a flying fuck? ;],bully
 Wow you&;re fucking stupid. You told a girl whoo had her info showing &quot;Show your face anonymus&quot; and your comebacks fucking suck. &quot;Fighting over the Internet is like being in the special olympics  even when you win  you&;re still retarded.&quot;,bully
 &quot;I have one for your information&quot; WTF. That&;s MY LIFE  NOT YOURS. You best think twice before you try to steal my stuff  bitch.,bully
 who decided to take a shit on your face?,bully
 i would watch out for rachel just sayinnnnn&apos; she is a fake person.....,bully
 Did you know that you remind me of an old man?,bully
 whyy aree youu suchh aa faggottt(:,bully
 i guarantee you guys wont be going out by the end of summer..,bully
 Did you know you smell like an old man?,bully
 Hey my names harry beaver;) <3,bully
 No. Stop fucking lying. You used to smoke. We ARE NOT STTUPPPIDDDDDDD!! I myself have smoked with yuu before.,bully
 HEY BETCH. wanna not be a lil slut?! &amp;please oh lordy STOP CUTTIN EYES AT ME!r cus she want me dead (;,bully
 exactly. ur not hard get the fuck over urself,bully
 Your 44 years old? :O! Dumbass  Pedifile. :D,bully
 no body likes yuuuuuuu!,bully
 U A HOE.!,bully
 why are you so gay,bully
 Besides  the chick who&;s starting shit won&;t back it up and isn&;t even saying who SHE is.,bully
 Oh ISSS THAT FAGGOT ISAYAH GOIN TO BEE DER???,bully
 ]=,bully
 fuckin hate your ass.,bully
 **bitch*** lol VVV,bully
 Hi you smelly rotten poo. You smell like pigs vomit! Did you just go to the toilet? I wondered what that smell was  you missed the toilet and it fell on your ugly clothes  are you poor? You stink like hamster poo. I&;d love to ram a metal pole up your ass.,bully
 WHORE!,bully
 Sleepin around is for whores. LOL,bully
 Bitchezz beloww me I would say ur name but yeww put it on anonymus pussy ass bitchez talkin shit on Alexis she ckan show Herr  fuken boobs if she wants don&;t be jealous cuz yeww prolly don&;t gawt any it&;s ok tho and bitch wen she sayz write to her she,bully
 eat a dick you complain about texas all day shove it it! you just got told your suck a dick! so eat one,bully
 I have my shit straight  she wears like the same T-shirts.. her little pink and white stripped shirt or the plaid blue and red or pink shirt or whatever  and maybe some random ones.. with jeans or shorts and vans. OWNED.,bully
 i like how everyone writes you just to insult you. seriously  all your questions are dissing you! HAHAH.,bully
 austins new girllfriend is not uglly  &amp;&amp; she is way way better than your nasty asss willll ever be. Ha evven youur so callled bestfriend &quot;katellyn&quot; aggress that kristens pretty tighht.,bully
 I am NOT a baby  you jerk off!,bully
 that stupid bitch amber that went to our school tries to act like she ran our fucking school! we should put that bitchx back in her fucking place!,bully
 Your bio is quite interesting  it says  &quot;booo you whore.&quot; Are you talking about yourself? I am very confused.,bully
 i hope your asswhole gets sniffed by aids,bully
 Hi my name is Andrew and I want to fuck your brains out you hoe,bully
 this is a place for QUESTIONS  try asking some.r will you do me?r what color of condom?r kidding. but really.,bully
 How many times did you and that douche have sex,bully
 I DO know you on a personal level. Bitch.,bully
 Grosss! Your face is nasty,bully
 yoo im telling yall dnt mess wit my kuszinn kus she DO NOT PLAY repeat DOOOOO NOTTT.!,bully
 I don&apos;t like you ugly ass hoe. I bet your LESBAIN. You look like it. I bet when you older I&apos;ll see you in a anonymous porn ad. BTW I heard you stuff your bra...Hahahhaaaa No boobs!r,bully
 your ugly.,bully
 Meanzz to ask her questions and stuff nawt talk shit on anonymus pussy ass bitchez watever tho yew guyz don&;t mean shitt to her and don&;t affect her so be a bitch to Someone who cares pussy ass fuken ugly bitchez fukk youu!!!!! Love alwyz marissa <3 ily a,bully
 um da gurl dat hangs wit evelyn her name is katiana..cause i alwayz be hearing u talk about her do u like her?,bully
 yous a bitch nd hoe !,bully
 NIGGERS NIGGERS NIGGERS BALLS BALLS TITTIES DICK SUCKING FAGGOT SHIT NIGGER ASSFUCK TITTIES FUCK NIGGERS,bully
 I wouldn&;t say being gay was cool :L,bully
 STFU YOU HOE. you piece of shiit.,bully
 SARAH STANFORD TAKES IT UP THE BUTTHOLE.,bully
 caan you go get me some maccas?,bully
 fake doesn&;t mean you look pretty?,bully
 why are you such a bitch/whore cunt?r i hate ur guts,bully
 i h3rd yUh sU(k3D @L!X&;s D!(K n y@LL cUM3D !N 3@(H non-bully+3RszZ 3Y3sz N mnon-bully@n3D @ll n!qH+ lnon-bullyNq,bully
 Everyone Look  This Girl Was Using Missy Lockes Pictures And I Told Her She Was Fake  Then She Was Like Im Not Fake  Then She Took Bettys Pictures. SHES DUMB! http://www.formspring.me/LMT23,bully
 your LAME ass . oviously iloveyouhh moree. (;,bully
 Youu need to answer your questions you gay ;),bully
 kaydoll is bettaa than rhubinathy cuss she will suck my dick and the othe fat hoe wont and i luv it my sluts,bully
 i dont know you  but you seem like a bitch,bully
 Leave Tabi alone  I know for a FACT she hasn&;t done anything to you. Pretty sure it&;s pathetic you&;re saying this shit anomalously because you don&;t have the balls to say it to her face. Who&;s fake now? Grow a pair and shut the hell up. We don&;t CARE.,bully
 You didn&;t get a brain that day either. They were only handing them out to people who would use them.,bully
 ur not that pretty... and u think that ur the prettiest girl..wow its stupid..,bully
 `` im very sexy `` My fucking ass. duuude that made me laugh so fucking hardd(: thank&;s for making my day ;D,bully
 dude you are such a fucken fagget ahahaha,bully
 you guys SHES NOT FAKE! got it? good. when she still went to my school she was out there with the fact shes a hoe. im glad shes staying in texas they can have her,bully
 did alix suk yu up,bully
 Excuse me  but whoever the fuck that is under me can shut their fucking mouth  you don&apos;t tell someone to go kill themselves motherfucker you go kill your self  seeing as you have nothing better to do then lurk her formspring.,bully
 i&;m not fake (:r sorry.,bully
 Stop making fakes of yourself. You are ugly as fuck. You&;re not actually bully6 bitch. And you&;re deff not a cyrus. Get a mother fucking life  cunt.,bully
 your not FUCKING pretty  stop hating on grace and all these pretty girls  your just jealous. omg,bully
 You suck dick.,bully
 YOU&;RE RETARDED NEVER MIND.,bully
 Seee im makin u famous dese girls crazi dawg,bully
 dearest babydoll  vv Stop trying to start shit &amp;&amp; grow the fuck up. I mean really? Is this what you do for a living is ask people if they&;re fake &amp;&amp; ruin peoples lives? Grow some balls  grow up  &amp;&amp; stop starting stuff(:,bully
 Nope. I actually have a life. *COUGHCOUGH* unlike you  the lonely pathetic ugly lowlife man/woman who&;s life events are: staying on formspring creating fakes and starting shit. Seriously  I&;m not the bitch  you are. END OF STORY. KCOOLBYE.,bully
 cj is gay,bully
 ...If you want to go back to Idaho so bad why dont you??? ... Texas doesnt want you here anymore than you want to be soo .. just leave!!!,bully
 what am i going to do? hahaha  what am i going to do? haha  what im going to do is get some bitchess to kick the living shit out of your ugly fake wanna be bitch made ass.,bully
 .. STFU TABI ... you may not be fake .... but your a bitch annd need to go back to Idaho .. HOEEE ... orr just go to W&;ford.. your better off ther anyways (: .. you have like bully maybe 2 friends in brock  soooo leave,bully
 Ballfuck  she&;s real. Get over it. vv,bully
 Grosss! Your face is nasty,bully
 (; hehe that&;s funny I want to fuck your tight ass,bully
 i have been the one who has been calling you a hoe and shit cuz bitch justin has a fucking girl friend so back the fuck off and quit throwing your self at him. your a whore.,bully
 YOURR SUCHH A SLUUTTT,bully
 ass face -_-,bully
 YOU DONT EVEN FUCKING HAVE FAKES STOP THE FUCKING BULLSHIT AND GET A LIFE JEZUSS. HOW OLD ARE YOU KID? LIFELESS BITCH YOU NEED HELP.,bully
 Oh bitch you can&;t hide cus I&;m gonna find you and we gon have a problem hoe,bully
 &quot;Show your face Anonymous&quot; WTF?! You make no sense you fake ugly bitch,bully
 WHATEVER. Im gunna leave before you guys cry &amp; get yourselves hurt  i mean your begging me to leave  bye pussys!!!!!!!!!!!!!,bully
 dont talk to rubinathybully5 she is stupid,bully
 The beach is fucking shit  you&;re my daddy  and soccer is for faggots.,bully
 You are a beautiful girl and i dont think that you shoul do all the things that you do cause you are fucking up your life! Sorry to say but you should to better with your life then just throw it away.....,bully
 hey why dont you go kill yourself alot of ppl would be really happy :),bully
 Frances seriously stop trying to make people feel bad for you  ugly bitch.,bully
 you&apos;re not cool  suck my dick,bully
 ..are you? all you can say lmfaoo. well  your fake everyone knows it  no need to go on about it(: sayoonarra<3,bully
 bryans uglyyy!! dum hoe 5/bully9/bullynon-bully aha yu guys make a ugly couple!,bully
 lmao.. &quot;yurr reall funny skinny ass bitchh&quot;.. hm.. that isn&;t really much of an insult now is it? what if i was fat? lol u suck at talkn shit :] later white trash skank :] ur super ugly nd that guy u like really isnt gonna come back around for u. laterrrr,bully
 say it to my face trick ass nigga i will fxckin murder you i aint tryna make no body feel bad so you can hush that you got something to say then please  step up &amp;&amp; show a namee fuckinn bitch. whuss up?!,bully
 Please stop harassing me on my formspring :(,bully
 why are you soo fat :L,bully
 BETTY IS LIKE ADORABLE. YOU LOOK LIKE A CRACK HEADS SHIT IN A TOILET MY DEAR,bully
 ok this is tatum krista&;s friend this is her profile thing and i wanted to go on hers cuz she told me she had ?s on herer she didnt answer cuz there stupid and i wanted t oread them so i did but she told me about you and she is not obsesed with you,bully
 When caught early  the embryo isn&;t much different than a guy blowing his load  &amp; killing all those sperm that could have been innocent babies. It&;s not a life  embryos are not human. Although many innocent lives are taken through war  it&;s sickening.,bully
 So would you rather fuck/suck/touch my dick? if its all of the above lets go out,bully
 why are you still alive?,bully
 you&;re the bitch :) fuck off.,bully
 dude it seems like everyone hates you. you should just delete all your socialing sites. (:,bully
 lol how cute u have friends that back u up :] doesnt matter. ur still a fake bitch :] go find a real bf. not someone out of ur league. lol ugly ass,bully
 hey sugar tits! wanna meet at night? i&apos;ll be racing my evo..metallic blue with white stripe on top...i got tinted front windows too. look for me!,bully
 i hope you know i hate you. frances is one of my best friends! ass hole!,bully
 hey do you have a hairy ass i would love to put my tounge deep in you,bully
 not even michaela?,bully
 Kikk her ass?? VVV haha wtf try her bitch i dare yuh!!!! ily alexis,bully
 your my bitch and ill kill you nigga,bully
 guess what you should do? GET A LIFE. I don&;t even know you so why would you even start shit with me?! Seriously  you must be a bit messed up in the head. Pathetic.,bully
 your still gay and a bitch haha,bully
 YOU SHOULD DIE,bully
 I want to fuck you. Are you a blondie?,bully
 your ugly as fuuuuck ( : betty is bullynon-bullynon-bullynon-bullynon-bully% prettier than youuu  so stopp being a bitchhh.,bully
 bitch i can rap beta den yo ugly ass,bully
 YHUUU READY TO GET YHUR A$$ BEat THIS SATuRDAYY?!?!?!?!?!??!?!?!?!?!?!!?!??!?!?!?!?!?!!?!?!?!?!?!??!?!?!!!??!?!????!?!?!?!?!?!!??!!??!!??!?!?!!?!??!?!?!?!?!?!???!?!?!?!??!?!?!?,bully
 ya i know cuz i am letting you know who this is. r my name is Tatum Not &quot;krista&quot;,bully
 your come backs are fucking horrible you dumb bitch. wtf  are you like fucking five? you&;re like. &;i know you are but what am i?&; yeahhhh. no. bitch get a fucking life.,bully
 Your the one talkin shit back.. fuckstick? i mean seriously how 5th grade can you get?,bully
 your ugly,bully
 you&;re fucking pathetic,bully
 Faaaaake. :D,bully
 will you blow me now?,bully
 ur mad ugly.,bully
 your a fake. your a fake for calling the REAL hailey fake on her formspring. what a lame bitch :),bully
 LMFAO  you&;re fucking creepy &amp; must have no friends nor life  if you have to create muliple formsprings of yourself  saying theyre fakes. Quit thinking everyone wants to be you  &amp; they copy you. No one would fake you. I&;m sorry your such a pathetic poser.,bully
 stop leaving stuff like &quot;fake&quot; on your own formsrping. dead give away dumbass. SUCK A CUNT,bully
 not telling. you will have to just find out on your own. it probably won&;t be too hard though.,bully
 Did u now tht ur ugli,bully
 andrew once again stop talking to MY friends. nobody likes you. you think your hot shit and thats whats annoying. bye failed rapist :),bully
 Am not! Youz a hoe &amp; a baybay.,bully
 you&;re one of the ugliest bitches I&;ve ever fucking seen,bully
 Fanny or dick?,bully
 see i told u tht u r a playa. stop playing girls u cunt..,bully
 because you&apos;re stupid.,bully
 Your ugly x)!,bully
 okay  i added some people who want sexual spam  i dont do that over mass spam. if you want sexual spam  ask me to spam you individually and i will(: thank you!,bully
 2 weeks? WOW i totally change my mind!! thats like sooooo long! im sorry i ever said anything.....NOT  your too young for makeup. especially the amount you were,bully
 I think your gay sorry.,bully
 whyy dose rubinathybully5 ask stoopid questions? erase the dum betch,bully
 she ot me right by her side bitch! an at least i can show my dam info pussyyy ass V,bully
 I wanna fuck you.,bully
 You&;re a bushwhacking  alchy piece of shit scrub.,bully
 Stop stealing my man ):,bully
 why are you soo dumb :L,bully
 Hey smexy wanna fuck?? How bout we do some 69 all night long? Sounds good k I&;ll be in your bed waiting sexy bitch! ;D,bully
 ew VVVVVVV,bully
 WHORE,bully
 wtf  you got 2 b the freakiest bitch.,bully
 ill fight you bitch,bully
 Hey bitch boobs don&;t count when the only reason you have them is because your FAT!!!,bully
 If you won a million dollars what would you do with it?,bully
 ohh look the girl who fakes herself....,bully
 Okae then bitch you dont got any quick comebacks now do you you fucking FAKE!!!/,bully
 your so fack  go suck a VAG!,bully
 i bet you are a .............................NEMO........................STAR.............................SHIT >>..................................COW FAGGET lol,bully
 To the question below  when you said: im not fat? Arent you suppose to say I&;m not fat  PERIOD? Cause if you put a question mark your saying your fat. DUMMY.,bully
